MongoDB shell version v4.2.2
connecting to: mongodb://172.18.0.6:27017/tvi?compressors=disabled&gssapiServiceName=mongodb
Implicit session: session { "id" : UUID("32d9a4d1-72b8-415d-841c-6b16ecb27986") }
MongoDB server version: 4.2.3
id,total_points
teste,15
embrapa_paradas,181
mapbiomas_teste,60
Mapbiomas_agropecuaria_xpto,1587
mapa_pastagem_2000_2016,5000
bhrv_1985_2016,56
chaco_100,500
mapbiomas_col3_etapa01,8119
mapbiomas_col3_etapa02,5340
mapbiomas_col3_etapa03,15167
mapbiomas_col3_etapa02_2,2823
mapa_pastagem_1985_2001,5000
mapbiomas_col3_acc,1574
campanha_goias,15058
fip_cerrado,5120
campo_fip,72
mapbiomas_treinamento,1125
mapbiomas_100k_etapa01,9710
validacao_fip_cerrado,5120
mapbiomas_100k_etapa01_1,1000
mapbiomas_100k_etapa02,11580
mapbiomas_etapa03_treinamento,479
mapbiomas_100k_etapa03,2008
mapbiomas_100k_etapa04,14497
mapbiomas_etapa05_treinamento,250
mapbiomas_100k_etapa05,9738
campo_fip_2,88
mapbiomas_etapa06_treinamento,224
mapbiomas_100k_etapa06,2361
mapbiomas_etapa07_treinamento,300
mapbiomas_100k_etapa07,10000
mapbiomas_100k_etapa08,10000
mapbiomas_100k_etapa09,15258
amazonia_auditoria_,55
caatinga_auditoria,193
cerrado_auditoria,193
mata_atlantica_auditoria,194
pampa_auditoria,182
pantanal_auditoria,179
mapbiomas_100k_reinsp01,3679
mapbiomas_100k_cerrado,195
mapbiomas_100k_amazonia,195
campo_fip_3,144
fip_cerrado_2018,1067
pontos_wel,54
validacao_fip_cerrado_comp,30
fip_campo_4,126
raisg_ejemplos,60
raisg_bolivia,153
raisg_colombia,90
raisg_ecuador,36
raisg_guianas,94
raisg_peru,193
raisg_venezuela,124
raisg_inundables_manglares_tepuyes,69
raisg_bolivia_reg,30
raisg_colombia_reg,30
raisg_ecuador_reg,30
raisg_peru_val,8013
raisg_bolivia_val,6350
raisg_colombia_val,3721
raisg_ecuador_val,1051
raisg_venezuela_val,3511
raisg_guyanas_val,3054
pastagem_col5_val,5000
fip_validacao_2019,3503
fip_validacao_2019_comp,621
classes_raras_mapbiomas,3850
classes_raras_mapbiomas_treinamento,330
classes_raras_mapbiomas_val,3850
mapbiomas_ofnf_amazonia,2514
mapbiomas_amostras_dinamicas,2089
treinamento_desmatamento_ce,225
desmatamento_regeneracao_ce,2136
44,102
45,330
48,730
